"","station","depth","date","arrival.time.local","latitude.degrees","latitude.min.sec","longitude.degrees","longitude.min.sec","weather","secchi.depth.meters","secchi.on.bottom","station.depth.meters","sample.depth.meters","temperature.celcius","do.mgl","do.percent.saturation","salinity.ppt","pH.nbs","ph.mv","nitrate.plus.nitrite.uml","nitrite.uml","orthophosphate.uml","ammonia.uml","final.chlorophyll.concentration.ugl","doc.mgl","delta.13c","delta.15n","tss.mgl","percent.organic","comments.field","comments.nutrients","comments.chlorophyll","comments.doc","comments.isotopes"
"20",7,"mid",20140115,1058,41,33.995,71,19.021,"Wind: 5 knots, Air Temp: NA, Sea State: NA, miscelaneous: sunny, 0.75 in rain past 24 hours",3.5,"n",31.3,7,3.4,10.92,101.6,31.82,7.93,NA,6.03,0,0.94,1.68,1.36,1.56,-25.29,7.14,16.9,19.94,NA,NA,NA,NA,NA
"21",7,"bottom",20140115,1058,41,33.995,71,19.021,"Wind: 5 knots, Air Temp: NA, Sea State: NA, miscelaneous: sunny, 0.75 in rain past 24 hours",3.5,"n",31.3,NA,NA,NA,NA,NA,NA,NA,4.55,0,1.65,4.41,1.88,0.94,-21.96,7.96,28.95,16.9,"sonde cable insufficient to reach bottom",NA,NA,NA,NA
"22",8,"surface",20140115,958,41,28.834,71,21.017,"Wind: 5 knots, Air Temp: NA, Sea State: NA, miscelaneous: sunny, 0.75 in rain past 24 hours",3.5,"n",46.7,0.5,3.2,12.06,110.2,31.23,7.85,NA,4.31,0,0.86,2.39,1.2,1.65,-25.76,7.81,13.14,24.39,NA,NA,NA,NA,NA
"23",8,"mid",20140115,958,41,28.834,71,21.017,"Wind: 5 knots, Air Temp: NA, Sea State: NA, miscelaneous: sunny, 0.75 in rain past 24 hours",3.5,"n",46.7,7,3.6,11.12,104,32.05,7.93,NA,4,0,1.48,3.72,1.52,1.09,-25.42,7.41,14.41,24.53,NA,NA,NA,NA,NA
"24",8,"bottom",20140115,958,41,28.834,71,21.017,"Wind: 5 knots, Air Temp: NA, Sea State: NA, miscelaneous: sunny, 0.75 in rain past 24 hours",3.5,"n",46.7,NA,NA,NA,NA,NA,NA,NA,2.85,0,0.8,1.31,1.26,1.05,-21.67,6.96,18.42,19.28,"sonde cable insufficient to reach bottom, winch cable insufficient to reach bottom",NA,NA,NA,NA
"25",1,"surface",20140403,840,41,45.504,71,22.797,"Wind: NA, Air Temp: NA Sea State: NA, miscelaneous: clear, calm, sunny",1.75,"n",3.4,1,5.6,NA,NA,17.66,7.9,NA,33.33,0,1,8.55,1.5,12.28,-27.28,6.07,4.84,38.3,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"26",1,"mid",20140403,840,41,45.504,71,22.797,"Wind: NA, Air Temp: NA Sea State: NA, miscelaneous: clear, calm, sunny",1.75,"n",3.4,1.8,5,NA,NA,21.31,7.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"27",1,"bottom",20140403,840,41,45.504,71,22.797,"Wind: NA, Air Temp: NA Sea State: NA, miscelaneous: clear, calm, sunny",1.75,"n",3.4,3.8,4.4,NA,NA,24.3,7.91,NA,17.66,0,1.33,6.41,2.55,18.23,-23.97,9.28,2.98,44,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"28",2,"surface",20140403,916,41,42.011,71,19.498,"Wind: 10-12 knots, Air Temp: NA Sea State: NA, miscelaneous: clear, sunny  ",2.5,"n",15.5,1,5.5,NA,NA,19.8,7.97,NA,13.05,0,0.99,4.29,2.81,20.33,-22.27,9.06,5.48,34.83,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"29",2,"mid",20140403,916,41,41.971,71,19.498,"Wind: 10-12 knots, Air Temp: NA Sea State: NA, miscelaneous: clear, sunny  ",2.5,"n",15.5,7.5,3.7,NA,NA,29.73,7.94,NA,1.36,0,1.43,3.02,2.89,24.5,-22.1,9.22,10.44,8.05,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"30",2,"bottom",20140403,916,41,41.971,71,19.498,"Wind: 10-12 knots, Air Temp: NA Sea State: NA, miscelaneous: clear, sunny  ",2.5,"n",15.5,9,3.5,NA,NA,30.47,7.98,NA,1.31,0,1.54,3.52,3.82,25.01,-22.13,9.32,11.18,10.15,"no DO readings due to instrument malfunction, sonde cable insufficient to reach bottom",NA,NA,NA,NA
"31",3,"surface",20140403,1037,41,39.5,71,23.191,"Wind: 10 knots, Air Temp: NA Sea State: NA, miscelaneous: calm, sunny  ",3,"n",5.9,1,5.3,NA,NA,25.95,8.15,NA,6.22,0,0.99,2.28,5.1,22.12,-21.54,9.51,3.36,26.97,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"32",3,"mid",20140403,1037,41,39.5,71,23.191,"Wind: 10 knots, Air Temp: NA Sea State: NA, miscelaneous: calm, sunny  ",3,"n",5.9,2.6,4.2,NA,NA,28.25,8.11,NA,3.41,0,1.03,1.94,6.02,22.51,-20.64,9.76,4.72,33.21,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"33",3,"bottom",20140403,1037,41,39.5,71,23.191,"Wind: 10 knots, Air Temp: NA Sea State: NA, miscelaneous: calm, sunny  ",3,"n",5.9,5.5,4.2,NA,NA,28.31,8.11,NA,3.02,0,0.91,1.87,8.18,22.82,-20.74,9.77,25.06,45.57,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"34",4,"surface",20140402,1025,41,35.877,71,22.934,"Wind: 5 knots, Air Temp: 3.3 °C Sea State: NA, miscelaneous: partly cloudy ",3.3,"n",11.3,1,4.6,NA,NA,27.71,8.12,NA,3.1,0,0.71,1.42,5.93,3.7,-21.75,9.52,15,26.93,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"35",4,"mid",20140402,1025,41,35.877,71,22.934,"Wind: 5 knots, Air Temp: 3.3 °C Sea State: NA, miscelaneous: partly cloudy ",3.3,"n",11.3,5.3,4.2,NA,NA,28.96,8.11,NA,1.69,0,0.87,1.41,4.8,1.92,-20.86,10.27,15.58,28.75,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"36",4,"bottom",20140402,1025,41,35.877,71,22.934,"Wind: 5 knots, Air Temp: 3.3 °C Sea State: NA, miscelaneous: partly cloudy ",3.3,"n",11.3,9,3.7,NA,NA,29.97,8.1,NA,1.36,0,1.33,2.39,5.01,1.81,-21.54,11.4,16.28,25.31,"no DO readings due to instrument malfunction, sonde cable insufficient to reach bottom",NA,NA,NA,NA
"37",5,"surface",20140402,803,41,29.559,71,24.698,"Wind: 5 knots, Air Temp: 1.7 °C Sea State: flat, miscelaneous: partly cloudy, calm ",3.8,"n",15.3,1,3.9,NA,NA,29.41,7.88,NA,1.19,0,1.02,1.54,4.07,2.8,-21.94,9.7,3.68,21.74,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"38",5,"mid",20140402,803,41,29.559,71,24.698,"Wind: 5 knots, Air Temp: 1.7 °C Sea State: flat, miscelaneous: partly cloudy, calm ",3.8,"n",15.3,7.5,3.6,NA,NA,31.08,7.95,NA,1.05,0,1.38,2.68,3.99,2.36,-22.57,9.16,4.72,8.05,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"39",5,"bottom",20140402,803,41,29.559,71,24.698,"Wind: 5 knots, Air Temp: 1.7 °C Sea State: flat, miscelaneous: partly cloudy, calm ",3.8,"n",15.3,9,3.6,NA,NA,31.29,8.01,NA,1,0,1.3,2.25,2.99,1.47,-21.3,9.48,25.85,7.74,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"40",6,"surface",20140403,955,41,38.496,71,18.625,"Wind: 10-12 knots, Air Temp: NA, Sea State: NA, miscelaneous: clear, sunny",4,"n",11,1,4.6,NA,NA,26.99,8.08,NA,3.43,0,1.2,2.04,2.88,2.14,-22.58,8.15,10.12,19.58,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"41",6,"mid",20140403,955,41,38.496,71,18.625,"Wind: 10-12 knots, Air Temp: NA, Sea State: NA, miscelaneous: clear, sunny",4,"n",11,5.5,3.7,NA,NA,30.01,8.06,NA,1.55,0,1.4,2.93,3.73,3.03,-21.69,8.8,8.95,34.08,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"42",6,"bottom",20140403,955,41,38.496,71,18.625,"Wind: 10-12 knots, Air Temp: NA, Sea State: NA, miscelaneous: clear, sunny",4,"n",11,9,3.5,NA,NA,30.9,8.04,NA,1.31,0,1.18,1.97,4.79,1.94,-22.95,8.96,5.56,45.03,"no DO readings due to instrument malfunction, sonde cable insufficient to reach bottom",NA,NA,NA,NA
"43",7,"surface",20140402,946,41,34.013,71,18.663,"Wind: 5 knots, Air Temp: 1.7 °C, Sea State: flat, miscelaneous: partly cloudy, calm",4.8,"n",19.4,1,3.8,NA,NA,29.78,8.06,NA,2.18,0,1.28,2.04,1.81,2.64,-22.82,8.48,5.44,26.84,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"44",7,"mid",20140402,946,41,34.013,71,18.663,"Wind: 5 knots, Air Temp: 1.7 °C, Sea State: flat, miscelaneous: partly cloudy, calm",4.8,"n",19.4,9,3.5,NA,NA,31.33,8.07,NA,1.15,0,1.27,2.02,1.19,1.66,-23.03,8.77,2.82,12.77,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"45",7,"bottom",20140402,946,41,34.013,71,18.663,"Wind: 5 knots, Air Temp: 1.7 °C, Sea State: flat, miscelaneous: partly cloudy, calm",4.8,"n",19.4,NA,NA,NA,NA,NA,NA,NA,1.08,0,1.25,1.71,1.13,2.16,-22.03,8.45,10.64,12.22,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"46",8,"surface",20140402,857,41,29.685,71,21.231,"Wind: 5 knots, Air Temp: 1.7 °C, Sea State: flat, miscelaneous: partly cloudy, calm",4.6,"n",34.4,1,3.9,NA,NA,29.84,8.02,NA,1.93,0,1.46,2.91,2.88,2.33,-22.64,8.57,2.64,15.15,"no DO readings due to instrument malfunction, sonde cable insufficient to reach bottom",NA,NA,NA,NA
"47",8,"mid",20140402,857,41,29.685,71,21.231,"Wind: 5 knots, Air Temp: 1.7 °C, Sea State: flat, miscelaneous: partly cloudy, calm",4.6,"n",34.4,9,3.6,NA,NA,30.82,8.05,NA,1.08,0,1.64,3.46,0.8,1.83,-23.98,8.05,3.06,16.99,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"48",8,"bottom",20140402,857,41,29.685,71,21.231,"Wind: 5 knots, Air Temp: 1.7 °C, Sea State: flat, miscelaneous: partly cloudy, calm",4.6,"n",34.4,NA,NA,NA,NA,NA,NA,NA,1.01,0,1.6,3.02,0.71,1.49,-23.16,8.18,7.14,8.96,"no DO readings due to instrument malfunction, sonde cable insufficient to reach bottom",NA,NA,NA,NA
"49",1,"surface",20140507,815,41,45.607,71,22.696,"Wind: NW 10 knots, Air Temp: 8.9 °C Sea State: NA, miscelaneous: sunny",3,"n",6,1,9,NA,NA,28.77,7.86,NA,4.51,0.08,1.15,3.39,5.82,22.31,-25.44,10.79,2.56,0,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"50",1,"mid",20140507,815,41,45.607,71,22.696,"Wind: NW 10 knots, Air Temp: 8.9 °C Sea State: NA, miscelaneous: sunny",3,"n",6,3,8.4,NA,NA,31.33,7.83,NA,3.54,0.03,0.8,1.9,5.23,2.83,-25.31,10.77,5.1,10.75,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"51",1,"bottom",20140507,815,41,45.607,71,22.696,"Wind: NW 10 knots, Air Temp: 8.9 °C Sea State: NA, miscelaneous: sunny",3,"n",6,6,7.9,NA,NA,32.67,7.83,NA,1.28,0,0.78,1.15,5.66,10.18,-25.57,10.97,2.92,9.6,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"52",2,"surface",20140507,850,41,41.935,71,19.563,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: sunny",3.8,"n",6.7,1,9.7,NA,NA,27.33,7.92,NA,6.51,0,0.74,2.46,3.34,21.09,-25.46,9.39,13.26,11.58,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"53",2,"mid",20140507,850,41,41.935,71,19.563,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: sunny",3.8,"n",6.7,3.2,9.2,NA,NA,31.27,7.9,NA,4.62,0.07,0.89,2.66,2.83,21.93,-24.65,9.96,31.48,9.08,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"54",2,"bottom",20140507,850,41,41.935,71,19.563,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: sunny",3.8,"n",6.7,6,7.8,NA,NA,33.59,7.88,NA,0.81,0,0.83,1.92,2.04,23.76,-23.54,9.33,8.95,6.03,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"55",3,"surface",20140507,1001,41,39.501,71,23.195,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: sunny",3.7,"n",5.2,1,10.6,NA,NA,29.71,8.06,NA,1.32,0,0.65,0.96,2.67,2.28,-24.44,9.24,3.41,19.57,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"56",3,"mid",20140507,1001,41,39.501,71,23.195,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: sunny",3.7,"n",5.2,2.6,9.5,NA,NA,31.23,8.01,NA,0.83,0,0.59,0.88,2.73,2.08,-24.11,9.61,3.12,0,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"57",3,"bottom",20140507,1001,41,39.501,71,23.195,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: sunny",3.7,"n",5.2,5,9.1,NA,NA,31.83,7.97,NA,0.63,0,0.75,1.18,2.69,3.1,-24.3,9.28,2.65,0,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"58",4,"surface",20140506,1028,41,35.866,71,22.945,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: mostly sunny",4.3,"n",10,1,10.5,NA,NA,28.97,8.03,NA,0.88,0,0.8,1.1,3.36,2.82,-25.07,9.57,1.79,51.8,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"59",4,"mid",20140506,1028,41,35.866,71,22.945,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: mostly sunny",4.3,"n",10,5,10,NA,NA,30.6,8,NA,1.38,0.24,0.93,1.05,2.22,1.92,-24.76,9.22,7.28,28.36,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"60",4,"bottom",20140506,1028,41,35.866,71,22.945,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: mostly sunny",4.3,"n",10,9,8,NA,NA,33.33,7.91,NA,0.79,0.29,0.91,1.11,6.35,1.56,-23.43,8.84,42.8,10.42,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"61",5,"surface",20140506,819,41,29.55,71,24.69,"Wind: NW 10 knots, Air Temp: 8.9 °C Sea State: NA, miscelaneous: sunny",4.9,"n",14.7,1,10,NA,NA,30.8,7.66,NA,0.67,0.28,0.73,0.95,1.36,2.7,-24.78,8.83,8.57,23.8,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"62",5,"mid",20140506,819,41,29.55,71,24.69,"Wind: NW 10 knots, Air Temp: 8.9 °C Sea State: NA, miscelaneous: sunny",4.9,"n",14.7,7,9.2,NA,NA,32.27,7.71,NA,0.67,0.46,0.73,1.03,1.65,1.63,-24.84,8.47,3.9,21.7,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"63",5,"bottom",20140506,819,41,29.55,71,24.69,"Wind: NW 10 knots, Air Temp: 8.9 °C Sea State: NA, miscelaneous: sunny",4.9,"n",14.7,9,8.6,NA,NA,33.19,7.72,NA,0.53,0.51,0.76,1.14,0.5,2.02,-24.61,7,0.86,8.33,"no DO readings due to instrument malfunction, sonde cable insufficient to reach bottom",NA,NA,NA,NA
"64",6,"surface",20140507,920,41,38.49,71,18.618,"Wind: NW 10 knots, Air Temp: 8.9 °C Sea State: NA, miscelaneous: sunny",3.6,"n",10.4,1,10.8,NA,NA,28.47,7.98,NA,0.66,0,0.59,1.26,3.82,2.21,-24.49,9.61,3.25,41.86,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"65",6,"mid",20140507,920,41,38.49,71,18.618,"Wind: NW 10 knots, Air Temp: 8.9 °C Sea State: NA, miscelaneous: sunny",3.6,"n",10.4,5,10.7,NA,NA,28.46,8.02,NA,0.67,0,0.79,1.1,3.62,2.07,-24.2,9.73,5.58,41.55,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"66",6,"bottom",20140507,920,41,38.49,71,18.618,"Wind: NW 10 knots, Air Temp: 8.9 °C Sea State: NA, miscelaneous: sunny",3.6,"n",10.4,9,7.3,NA,NA,34.56,7.92,NA,0.64,0,0.82,1.26,1.19,2.61,-24.04,8.64,5.16,33.98,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"67",7,"surface",20140506,951,41,33.997,71,18.66,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: mostly sunny",4.2,"n",18.4,1,10.4,NA,NA,28.41,8.02,NA,0.76,0,0.59,0.89,4.99,2.52,-24.44,10.03,1.9,0,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"68",7,"mid",20140506,951,41,33.997,71,18.66,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: mostly sunny",4.2,"n",18.4,9,7.3,NA,NA,34.68,7.92,NA,0.69,0,0.77,0.93,1.28,1.4,-25.01,7.42,4.58,0,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"69",7,"bottom",20140506,951,41,33.997,71,18.66,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: mostly sunny",4.2,"n",18.4,NA,NA,NA,NA,NA,NA,NA,0.62,0,0.7,0.95,0.57,1.32,-24.33,6.62,5.36,6,"no DO readings due to instrument malfunction, sonde cable insufficient to reach bottom",NA,NA,NA,NA
"70",8,"surface",20140506,908,41,29.692,71,21.233,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: mostly sunny",5.3,"n",33.3,1,10.2,NA,NA,29.44,7.93,NA,0.66,0,0.77,0.96,2.39,1.94,-24.45,10,6.67,4.34,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"71",8,"mid",20140506,908,41,29.692,71,21.233,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: mostly sunny",5.3,"n",33.3,9,8.7,NA,NA,32.95,7.88,NA,0.84,0.03,0.86,0.98,0.62,3.76,-24.59,6.95,2.07,0,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"72",8,"bottom",20140506,908,41,29.692,71,21.233,"Wind: NW 10 knots, Air Temp: 10.0 °C Sea State: NA, miscelaneous: mostly sunny",5.3,"n",33.3,NA,NA,NA,NA,NA,NA,NA,0.87,0.03,1.14,1.3,0.44,1.73,-24.53,7.79,3.16,19.92,"no DO readings due to instrument malfunction, sonde cable insufficient to reach bottom",NA,NA,NA,NA
"73",1,"surface",20140618,1005,41,45.616,71,22.695,"wind: NW 15 knots, air temp: NA, sea state: NA, miscellaneous: mostly sunny",1.9,"n",7.6,1,20.29,NA,NA,26.35,8.06,-69.5,3.09,0.09,1.69,1.68,17.47,3.09,-23.8,10.99,4.08,64.12,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"74",1,"mid",20140618,1005,41,45.616,71,22.695,"wind: NW 15 knots, air temp: NA, sea state: NA, miscellaneous: mostly sunny",1.9,"n",7.6,4,19.37,NA,NA,28.93,7.92,-62.7,1.37,0.01,1.61,3.03,10.93,3.75,-23.19,11.35,3.26,51.19,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"75",1,"bottom",20140618,1005,41,45.616,71,22.695,"wind: NW 15 knots, air temp: NA, sea state: NA, miscellaneous: mostly sunny",1.9,"n",7.6,6.5,19.04,NA,NA,29.41,7.89,-60.3,1.23,0.01,1.61,2.96,9.05,2.5,-23.33,9.64,2.45,55.24,"no DO readings due to instrument malfunction",NA,NA,NA,NA
"76",2,"surface",20140618,923,41,41.947,71,19.553,"wind: NW 15 knots, air temp: NA, sea state: NA, miscellaneous: mostly sunny",2.6,"n",8.4,1,19.45,8.16,106.1,29.85,8.02,-67.6,0.74,0,1.29,1.75,4.82,2.86,-23.07,10.9,9.85,62.66,NA,NA,NA,NA,NA
"77",2,"mid",20140618,923,41,41.947,71,19.553,"wind: NW 15 knots, air temp: NA, sea state: NA, miscellaneous: mostly sunny",2.6,"n",8.4,4,18.65,8.27,106.7,30.48,7.99,-66.1,0.76,0,1.3,1.64,6.32,2.26,-23.71,10.43,3.05,58.63,NA,NA,NA,NA,NA
