,STATION,DATE,REPORT_TYPE,SOURCE,HourlyAltimeterSetting
54,72219503888,2006-01-02 03:53:00,FM-15,7,29.96
55,72219503888,2006-01-02 04:03:00,FM-16,7,29.95
56,72219503888,2006-01-02 04:30:00,FM-16,7,29.94
57,72219503888,2006-01-02 04:37:00,FM-16,7,29.95
58,72219503888,2006-01-02 04:45:00,FM-16,7,29.94
59,72219503888,2006-01-02 04:53:00,FM-15,7,29.94
60,72219503888,2006-01-02 05:19:00,FM-16,7,29.93
61,72219503888,2006-01-02 05:45:00,FM-16,7,29.93
62,72219503888,2006-01-02 05:53:00,FM-15,7,29.92
63,72219503888,2006-01-02 06:44:00,FM-16,7,29.93
64,72219503888,2006-01-02 06:51:00,FM-16,7,29.9
65,72219503888,2006-01-02 06:53:00,FM-15,7,29.91
66,72219503888,2006-01-02 07:03:00,FM-16,7,29.92
67,72219503888,2006-01-02 07:51:00,FM-16,6,29.91
68,72219503888,2006-01-02 07:53:00,FM-15,7,29.92
69,72219503888,2006-01-02 08:53:00,FM-15,7,29.89
70,72219503888,2006-01-02 09:53:00,FM-15,7,29.88
71,72219503888,2006-01-02 10:53:00,FM-15,7,29.87
72,72219503888,2006-01-02 11:53:00,FM-15,7,29.83
73,72219503888,2006-01-02 12:51:00,FM-16,6,29.8
74,72219503888,2006-01-02 12:53:00,FM-15,7,
75,72219503888,2006-01-02 13:14:00,FM-16,7,29.79
76,72219503888,2006-01-02 13:53:00,FM-15,7,29.76
77,72219503888,2006-01-02 14:53:00,FM-15,7,29.72
78,72219503888,2006-01-02 15:51:00,FM-16,6,29.7
79,72219503888,2006-01-02 15:53:00,FM-15,7,29.69
80,72219503888,2006-01-02 16:28:00,FM-16,7,29.69
81,72219503888,2006-01-02 16:53:00,FM-15,7,29.69
82,72219503888,2006-01-02 17:53:00,FM-15,7,29.7
83,72219503888,2006-01-02 18:53:00,FM-15,7,29.71
84,72219503888,2006-01-02 19:53:00,FM-15,7,29.73
85,72219503888,2006-01-02 20:53:00,FM-15,7,29.73
86,72219503888,2006-01-02 21:53:00,FM-15,7,29.75
87,72219503888,2006-01-02 22:53:00,FM-15,7,29.77
88,72219503888,2006-01-02 23:53:00,FM-15,7,29.78
89,72219503888,2006-01-02 23:59:00,SOD,6,
90,72219503888,2006-01-03 00:53:00,FM-15,7,29.78
91,72219503888,2006-01-03 01:53:00,FM-15,7,29.79
92,72219503888,2006-01-03 02:53:00,FM-15,7,29.8
93,72219503888,2006-01-03 03:53:00,FM-15,6,29.82
94,72219503888,2006-01-03 04:53:00,FM-15,7,29.83
95,72219503888,2006-01-03 05:53:00,FM-15,7,29.86
96,72219503888,2006-01-03 06:53:00,FM-15,7,29.87
97,72219503888,2006-01-03 07:53:00,FM-15,7,29.89
98,72219503888,2006-01-03 08:53:00,FM-15,7,29.93
99,72219503888,2006-01-03 09:53:00,FM-15,7,29.95
100,72219503888,2006-01-03 10:22:00,FM-16,7,29.97
101,72219503888,2006-01-03 10:53:00,FM-15,7,29.98
102,72219503888,2006-01-03 11:53:00,FM-15,7,29.97
103,72219503888,2006-01-03 12:53:00,FM-15,7,29.97
104,72219503888,2006-01-03 13:51:00,FM-16,6,29.95
105,72219503888,2006-01-03 13:53:00,FM-15,7,29.95
106,72219503888,2006-01-03 14:53:00,FM-15,7,29.96
107,72219503888,2006-01-03 15:53:00,FM-15,7,
108,72219503888,2006-01-03 16:53:00,FM-15,7,30.01
109,72219503888,2006-01-03 17:53:00,FM-15,7,30.03
110,72219503888,2006-01-03 18:53:00,FM-15,7,30.04
111,72219503888,2006-01-03 19:53:00,FM-15,7,30.04
112,72219503888,2006-01-03 20:53:00,FM-15,7,30.04
113,72219503888,2006-01-03 21:53:00,FM-15,7,30.04
114,72219503888,2006-01-03 22:53:00,FM-15,7,30.05
115,72219503888,2006-01-03 23:53:00,FM-15,7,30.04
116,72219503888,2006-01-03 23:59:00,SOD,6,
117,72219503888,2006-01-04 00:53:00,FM-15,7,30.04
118,72219503888,2006-01-04 01:53:00,FM-15,7,30.04
119,72219503888,2006-01-04 02:53:00,FM-15,7,30.04
120,72219503888,2006-01-04 02:59:00,FM-16,7,30.04
121,72219503888,2006-01-04 03:07:00,FM-16,7,30.03
122,72219503888,2006-01-04 03:11:00,FM-16,7,30.03
123,72219503888,2006-01-04 03:18:00,FM-16,7,30.03
124,72219503888,2006-01-04 03:53:00,FM-15,7,30.05
125,72219503888,2006-01-04 04:11:00,FM-16,7,30.04
126,72219503888,2006-01-04 04:16:00,FM-16,7,30.04
127,72219503888,2006-01-04 04:30:00,FM-16,7,30.04
128,72219503888,2006-01-04 04:35:00,FM-16,7,
129,72219503888,2006-01-04 04:53:00,FM-15,7,30.05
130,72219503888,2006-01-04 05:00:00,FM-16,7,30.05
131,72219503888,2006-01-04 05:16:00,FM-16,7,30.05
132,72219503888,2006-01-04 05:26:00,FM-16,7,30.06
133,72219503888,2006-01-04 05:30:00,FM-16,7,30.06
134,72219503888,2006-01-04 05:38:00,FM-16,7,30.06
135,72219503888,2006-01-04 05:43:00,FM-16,7,30.06
136,72219503888,2006-01-04 05:53:00,FM-15,7,30.06
137,72219503888,2006-01-04 06:53:00,FM-15,7,30.06
138,72219503888,2006-01-04 07:20:00,FM-16,7,30.06
139,72219503888,2006-01-04 07:53:00,FM-15,7,30.07
140,72219503888,2006-01-04 08:53:00,FM-15,7,30.08
141,72219503888,2006-01-04 09:53:00,FM-15,7,30.08
142,72219503888,2006-01-04 10:53:00,FM-15,7,30.07
143,72219503888,2006-01-04 11:53:00,FM-15,7,30.03
144,72219503888,2006-01-04 12:53:00,FM-15,7,29.99
145,72219503888,2006-01-04 13:53:00,FM-15,7,29.95
146,72219503888,2006-01-04 14:53:00,FM-15,7,29.93
147,72219503888,2006-01-04 15:53:00,FM-15,7,
148,72219503888,2006-01-04 16:53:00,FM-15,7,29.92
149,72219503888,2006-01-04 17:53:00,FM-15,7,29.91
150,72219503888,2006-01-04 18:53:00,FM-15,7,29.93
151,72219503888,2006-01-04 19:53:00,FM-15,7,29.93
152,72219503888,2006-01-04 20:53:00,FM-15,7,29.93
153,72219503888,2006-01-04 21:53:00,FM-15,7,29.92
154,72219503888,2006-01-04 22:53:00,FM-15,7,29.91
155,72219503888,2006-01-04 23:53:00,FM-15,7,29.9
156,72219503888,2006-01-04 23:59:00,SOD,6,
157,72219503888,2006-01-05 00:53:00,FM-15,7,29.89
